,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000059788,0,0,0,0,0,0,0,0,0
ENSRNOG00000059789,0,0,0,0,0,0,0,0,0
ENSRNOG00000059790,1,0,0,0,0,0,0,0,0
ENSRNOG00000059791,1,0,2,0,0,0,0,0,0
ENSRNOG00000059792,0,0,0,0,0,0,0,0,0
ENSRNOG00000059793,1,5,2,7,1,5,8,1,2
ENSRNOG00000059794,91,26,18,26,5,9,58,8,23
ENSRNOG00000059795,0,0,0,0,0,0,0,0,1
ENSRNOG00000059796,0,0,0,0,0,1,0,0,0
ENSRNOG00000059797,0,0,0,0,0,0,0,0,0
ENSRNOG00000059798,0,0,2,0,0,1,0,0,1
ENSRNOG00000059799,113,195,97,438,492,626,695,459,404
ENSRNOG00000059800,0,0,0,0,0,0,0,0,0
ENSRNOG00000059801,2809,2637,2158,427,372,505,1323,689,495
ENSRNOG00000059802,7,0,5,2,1,1,1,0,1
ENSRNOG00000059803,0,0,0,0,0,0,0,0,0
ENSRNOG00000059804,9,0,5,18,11,14,11,11,6
ENSRNOG00000059805,0,0,0,0,0,0,1,0,0
ENSRNOG00000059806,0,0,0,0,0,0,0,0,0
ENSRNOG00000059807,0,0,1,0,0,0,0,0,0
ENSRNOG00000059808,0,0,3,0,0,0,0,0,0
ENSRNOG00000059809,0,0,0,0,0,1,0,0,0
ENSRNOG00000059810,832,729,681,510,556,490,628,496,456
ENSRNOG00000059811,0,0,0,0,0,0,0,0,0
ENSRNOG00000059812,0,0,0,0,0,0,1,0,0
ENSRNOG00000059813,0,0,0,0,0,0,0,0,0
ENSRNOG00000059814,0,0,0,0,0,0,0,0,0
ENSRNOG00000059815,0,0,0,0,0,0,0,0,0
ENSRNOG00000059816,0,0,0,0,0,0,0,0,0
ENSRNOG00000059817,0,0,0,0,0,0,0,0,0
ENSRNOG00000059818,0,0,0,0,0,0,0,0,0
ENSRNOG00000059819,0,0,0,0,0,0,0,0,0
ENSRNOG00000059820,0,0,0,0,0,0,0,0,0
ENSRNOG00000059821,0,0,0,0,0,0,0,0,0
ENSRNOG00000059822,0,0,0,0,0,0,0,0,0
ENSRNOG00000059823,0,0,0,0,0,0,0,0,0
ENSRNOG00000059824,24,18,16,8,5,12,10,10,11
ENSRNOG00000059825,9,4,5,11,14,12,26,6,13
ENSRNOG00000059826,0,0,0,0,0,0,0,0,0
ENSRNOG00000059827,8,5,4,14,9,2,9,14,5
ENSRNOG00000059828,0,0,0,0,0,0,0,0,0
ENSRNOG00000059829,0,0,0,0,0,0,0,0,0
ENSRNOG00000059830,0,0,0,0,0,0,0,0,0
ENSRNOG00000059831,0,0,0,0,0,0,0,0,0
ENSRNOG00000059832,0,0,0,0,0,1,0,1,2
ENSRNOG00000059833,0,0,0,1,3,1,4,3,2
ENSRNOG00000059834,4,3,4,4,6,2,7,1,1
ENSRNOG00000059835,100,176,138,146,138,180,143,105,168
ENSRNOG00000059836,0,0,0,0,0,0,0,0,0
ENSRNOG00000059837,45,26,33,7,15,12,21,13,12
ENSRNOG00000059838,0,0,0,0,0,0,0,0,0
ENSRNOG00000059839,0,0,0,0,0,0,0,0,0
ENSRNOG00000059840,6,15,5,13,15,7,14,8,5
ENSRNOG00000059841,5,2,0,1,1,1,1,2,0
ENSRNOG00000059842,0,0,0,0,0,0,0,0,0
ENSRNOG00000059843,2,0,0,0,0,0,1,0,0
ENSRNOG00000059844,0,0,0,0,0,0,0,0,0
ENSRNOG00000059845,0,0,0,0,0,1,0,2,0
ENSRNOG00000059846,0,0,0,0,0,0,0,0,0
ENSRNOG00000059847,1,0,0,1,1,1,0,0,0
ENSRNOG00000059848,0,0,0,0,0,0,0,0,0
ENSRNOG00000059849,0,0,0,0,0,0,0,0,0
ENSRNOG00000059850,0,0,0,0,0,0,0,0,0
ENSRNOG00000059851,7,11,12,24,13,22,37,14,21
ENSRNOG00000059852,0,0,0,0,0,0,0,0,0
ENSRNOG00000059853,18,3,4,11,1,1,0,0,1
ENSRNOG00000059854,4,0,1,8,6,3,5,2,1
ENSRNOG00000059855,0,0,0,0,0,0,0,0,0
ENSRNOG00000059856,0,0,0,0,0,0,0,0,0
ENSRNOG00000059857,26370,22561,20610,5940,8960,7308,7279,6441,7963
ENSRNOG00000059858,2,0,0,0,0,0,0,0,0
ENSRNOG00000059859,5,2,7,7,16,6,13,3,6
ENSRNOG00000059860,0,3,0,0,0,0,0,0,0
ENSRNOG00000059861,16,0,6,2,3,5,2,2,1
ENSRNOG00000059862,0,0,0,0,0,0,0,0,0
ENSRNOG00000059863,2,2,0,9,1,3,8,1,4
ENSRNOG00000059864,0,0,1,0,0,0,0,0,0
ENSRNOG00000059865,88,36,47,17,6,12,14,4,7
ENSRNOG00000059866,4,0,3,6,0,1,0,2,2
ENSRNOG00000059867,0,0,0,0,0,0,0,0,0
ENSRNOG00000059868,0,0,0,0,0,0,0,0,0
ENSRNOG00000059869,0,0,0,0,0,0,0,0,0
ENSRNOG00000059870,0,0,0,0,0,0,0,0,0
ENSRNOG00000059871,0,0,0,0,0,0,0,0,0
ENSRNOG00000059872,0,0,1,3,0,3,1,0,0
ENSRNOG00000059873,0,0,0,0,0,0,0,0,0
ENSRNOG00000059874,0,0,0,0,0,0,0,0,0
ENSRNOG00000059875,225,299,218,298,453,487,542,415,353
ENSRNOG00000059876,61,97,69,26,49,69,31,52,65
ENSRNOG00000059877,0,1,0,4,1,2,1,1,3
ENSRNOG00000059878,31,37,29,46,36,57,71,44,44
ENSRNOG00000059879,0,0,0,0,0,0,0,0,0
ENSRNOG00000059880,327,426,343,255,259,386,330,266,423
ENSRNOG00000059881,0,0,0,0,0,0,0,0,0
ENSRNOG00000059882,0,2,0,0,0,0,0,0,0
ENSRNOG00000059883,1,3,0,0,1,2,1,3,2
ENSRNOG00000059884,0,0,0,0,0,0,0,0,0
ENSRNOG00000059885,0,0,0,0,0,0,0,0,0
ENSRNOG00000059886,0,0,0,0,0,0,0,0,0
ENSRNOG00000059887,5,0,1,0,0,0,2,0,0
ENSRNOG00000059888,0,0,0,0,0,0,0,0,0
ENSRNOG00000059889,0,3,0,0,0,1,4,0,0
ENSRNOG00000059890,55,35,55,67,40,38,63,40,33
ENSRNOG00000059891,3,2,0,1,2,1,3,0,3
ENSRNOG00000059892,0,0,0,0,0,0,0,0,0
ENSRNOG00000059893,0,0,0,0,0,0,0,0,0
ENSRNOG00000059894,42,39,59,22,23,34,62,26,26
ENSRNOG00000059895,0,0,0,0,0,0,0,0,0
ENSRNOG00000059896,0,0,0,0,0,0,0,0,0
ENSRNOG00000059897,0,0,0,0,0,0,0,0,0
ENSRNOG00000059898,1,4,0,0,1,2,1,0,0
ENSRNOG00000059899,0,0,0,0,0,0,0,0,0
ENSRNOG00000059900,2913,3203,2455,1104,2336,3104,3911,4093,2432
ENSRNOG00000059901,0,0,0,0,0,0,0,0,0
ENSRNOG00000059902,0,0,0,0,0,0,0,0,0
ENSRNOG00000059903,41,29,36,101,86,118,146,108,79
ENSRNOG00000059904,0,0,0,0,0,0,0,0,0
ENSRNOG00000059905,0,0,0,1,0,0,0,0,0
ENSRNOG00000059906,2,1,0,0,0,0,1,1,1
ENSRNOG00000059907,0,0,0,0,0,0,0,0,0
ENSRNOG00000059908,0,0,0,0,0,0,0,0,0
ENSRNOG00000059909,0,0,0,0,0,0,0,0,0
ENSRNOG00000059910,2,0,0,0,0,0,0,0,0
ENSRNOG00000059911,231,165,163,172,163,135,317,197,208
ENSRNOG00000059912,0,0,0,0,0,0,0,0,0
ENSRNOG00000059913,0,0,0,0,0,0,0,0,0
ENSRNOG00000059914,0,0,0,0,0,0,0,0,0
ENSRNOG00000059915,0,0,0,0,0,0,0,0,0
ENSRNOG00000059916,2,3,0,0,0,0,0,0,0
ENSRNOG00000059917,1,0,0,0,0,0,1,2,1
ENSRNOG00000059918,0,0,0,0,0,0,0,0,0
ENSRNOG00000059919,624,559,441,459,601,563,700,576,549
ENSRNOG00000059920,0,0,1,0,0,0,1,2,0
ENSRNOG00000059921,10,4,4,0,1,2,0,0,0
ENSRNOG00000059922,2,0,0,0,0,0,1,0,2
ENSRNOG00000059923,0,0,0,0,0,0,0,0,0
ENSRNOG00000059924,0,0,0,0,0,0,0,0,0
ENSRNOG00000059925,0,0,0,0,0,0,0,0,0
ENSRNOG00000059926,0,0,0,0,0,1,0,0,0
ENSRNOG00000059927,0,0,0,0,0,0,0,1,2
ENSRNOG00000059928,52,9,14,11,6,4,6,6,6
ENSRNOG00000059929,0,0,0,0,0,0,0,0,0
ENSRNOG00000059930,0,0,0,0,0,0,0,0,0
ENSRNOG00000059931,6,1,0,0,2,0,1,0,4
ENSRNOG00000059932,0,0,0,0,0,0,0,0,0
ENSRNOG00000059933,0,0,0,0,0,0,0,0,0
ENSRNOG00000059934,0,0,0,0,0,0,0,0,0
ENSRNOG00000059935,0,2,3,0,0,0,0,0,0
ENSRNOG00000059936,0,0,0,0,0,0,0,0,0
ENSRNOG00000059937,0,0,0,0,0,0,0,0,0
ENSRNOG00000059938,8,8,5,6,6,6,7,4,9
ENSRNOG00000059939,0,0,0,0,0,0,0,0,0
ENSRNOG00000059940,0,0,0,0,0,0,0,0,0
ENSRNOG00000059941,0,0,0,0,0,0,0,0,0
ENSRNOG00000059942,0,0,0,0,0,0,0,0,0
ENSRNOG00000059943,0,0,0,0,0,0,0,0,0
ENSRNOG00000059944,2,2,5,1,0,0,2,0,1
ENSRNOG00000059945,0,0,0,0,0,0,0,0,0
ENSRNOG00000059946,0,1,0,0,0,0,0,0,0
ENSRNOG00000059947,110,37,101,299,267,815,705,568,578
ENSRNOG00000059948,0,0,0,0,0,0,0,0,0
ENSRNOG00000059949,1,0,4,2,0,0,6,3,1
ENSRNOG00000059950,3,0,5,0,0,0,0,0,1
ENSRNOG00000059951,0,0,0,0,0,0,0,0,0
ENSRNOG00000059952,0,0,1,0,0,0,0,2,0
ENSRNOG00000059953,0,0,0,0,0,0,0,0,0
ENSRNOG00000059954,2,0,1,0,0,2,0,0,1
ENSRNOG00000059955,0,0,0,0,0,0,0,0,0
ENSRNOG00000059956,3565,2258,2390,2975,3710,4446,9984,3598,3892
ENSRNOG00000059957,7,4,6,8,17,12,5,3,12
ENSRNOG00000059958,0,0,0,0,0,0,0,0,0
ENSRNOG00000059959,0,7,1,1,0,0,0,0,0
ENSRNOG00000059960,0,0,0,0,0,0,0,0,0
ENSRNOG00000059961,922,2407,2041,435,321,524,785,362,411
ENSRNOG00000059962,14,11,6,1,2,5,2,1,3
ENSRNOG00000059963,0,0,0,0,0,0,0,0,0
ENSRNOG00000059964,54,50,53,63,34,49,59,38,49
ENSRNOG00000059965,0,2,0,0,0,0,0,0,0
ENSRNOG00000059966,0,0,0,0,0,0,0,0,0
ENSRNOG00000059967,0,0,0,0,0,0,0,0,0
ENSRNOG00000059968,3921,4983,5060,1954,3157,3888,4119,2842,2912
ENSRNOG00000059969,0,0,0,0,0,0,0,0,0
ENSRNOG00000059970,46,20,32,86,29,47,91,37,53
ENSRNOG00000059971,0,0,0,1,0,0,0,0,0
ENSRNOG00000059972,0,0,0,0,0,0,0,0,0
ENSRNOG00000059973,0,0,1,0,0,0,0,0,0
ENSRNOG00000059974,0,0,0,0,0,0,0,0,0
ENSRNOG00000059975,0,0,3,2,1,3,1,2,0
ENSRNOG00000059976,0,0,0,0,0,0,0,0,0
ENSRNOG00000059977,0,0,0,0,0,0,0,0,0
ENSRNOG00000059978,0,0,0,0,0,0,0,0,0
ENSRNOG00000059979,0,0,0,7,1,3,9,5,1
ENSRNOG00000059980,0,0,0,0,0,0,0,0,0
ENSRNOG00000059981,0,0,0,0,0,0,0,0,0
ENSRNOG00000059982,0,0,0,0,0,0,0,0,0
ENSRNOG00000059983,0,0,1,0,0,0,0,0,0
ENSRNOG00000059984,660,726,571,774,564,701,530,468,488
ENSRNOG00000059985,0,0,0,0,0,0,0,0,0
ENSRNOG00000059986,0,0,0,0,0,1,0,0,0
ENSRNOG00000059987,0,0,0,0,0,0,0,0,0
ENSRNOG00000059988,0,0,0,0,0,0,0,0,0
ENSRNOG00000059989,0,0,0,0,0,0,0,0,0
ENSRNOG00000059990,0,0,0,0,0,0,0,0,0
ENSRNOG00000059991,0,0,0,0,0,0,0,0,0
ENSRNOG00000059992,0,0,1,0,0,0,0,0,0
ENSRNOG00000059993,0,0,0,0,0,0,0,0,0
ENSRNOG00000059994,0,0,0,0,0,0,0,0,0
ENSRNOG00000059995,0,3,1,5,4,0,3,3,2
ENSRNOG00000059996,0,0,0,0,0,0,0,0,1
ENSRNOG00000059997,253,109,117,132,57,62,132,71,96
ENSRNOG00000059998,0,0,0,0,0,0,0,0,0
ENSRNOG00000059999,0,0,0,0,0,0,0,0,0
ENSRNOG00000060000,1,0,0,0,2,3,5,0,2
ENSRNOG00000060001,4,4,1,1,0,2,5,2,2
ENSRNOG00000060002,0,0,0,0,0,4,0,0,0
ENSRNOG00000060003,0,0,0,0,0,0,0,0,0
ENSRNOG00000060004,81,68,72,74,66,121,133,104,101
ENSRNOG00000060005,211,359,202,471,455,594,720,506,564
ENSRNOG00000060006,0,0,0,0,0,0,0,0,0
ENSRNOG00000060007,0,0,0,0,0,0,0,0,0
ENSRNOG00000060008,205,265,219,328,355,405,687,358,361
ENSRNOG00000060009,0,0,0,0,0,0,0,0,0
ENSRNOG00000060010,91,81,65,89,70,91,114,60,78
ENSRNOG00000060011,0,0,0,0,0,0,0,0,0
ENSRNOG00000060012,0,0,0,0,0,0,0,0,0
ENSRNOG00000060013,0,0,0,0,0,0,0,0,0
ENSRNOG00000060014,0,0,0,0,0,0,0,0,0
ENSRNOG00000060015,0,0,0,0,0,0,0,0,0
ENSRNOG00000060016,0,0,0,0,0,0,0,0,0
ENSRNOG00000060017,15,14,10,4,2,0,4,1,4
ENSRNOG00000060018,0,4,1,8,6,1,3,3,4
ENSRNOG00000060019,6,1,12,20,26,15,24,23,21
ENSRNOG00000060020,9,12,17,1,2,3,1,4,3
ENSRNOG00000060021,3614,5662,3577,1516,1804,2309,1673,1675,1556
ENSRNOG00000060022,0,1,1,0,0,0,0,0,0
ENSRNOG00000060023,0,0,0,0,0,0,0,0,0
ENSRNOG00000060024,0,0,0,0,0,0,0,0,0
ENSRNOG00000060025,0,0,0,0,0,0,0,0,0
ENSRNOG00000060026,0,0,0,0,0,0,0,0,0
ENSRNOG00000060027,0,0,0,0,0,0,0,0,0
ENSRNOG00000060028,0,0,0,0,0,0,0,0,0
ENSRNOG00000060029,1,0,0,0,0,0,1,0,0
ENSRNOG00000060030,0,0,0,0,0,0,0,0,0
ENSRNOG00000060031,46,24,22,106,77,81,103,71,93
ENSRNOG00000060032,0,0,0,0,0,0,0,0,0
ENSRNOG00000060033,0,0,0,0,0,0,0,0,0
ENSRNOG00000060034,0,0,0,0,0,0,0,0,0
ENSRNOG00000060035,1,0,0,2,0,0,0,2,0
ENSRNOG00000060036,0,0,0,0,0,0,0,0,0
ENSRNOG00000060037,0,2,0,0,0,0,0,1,0
ENSRNOG00000060038,0,0,0,0,0,0,0,0,0
ENSRNOG00000060039,1,0,3,0,0,0,0,0,0
ENSRNOG00000060040,0,0,0,0,0,0,0,0,0
ENSRNOG00000060041,0,0,0,1,0,1,0,3,0
ENSRNOG00000060042,0,0,0,0,0,0,0,1,0
ENSRNOG00000060043,0,0,0,0,0,0,0,0,0
ENSRNOG00000060044,0,0,0,0,0,0,0,0,0
ENSRNOG00000060045,762,680,529,1407,1054,1037,1811,1072,951
ENSRNOG00000060046,1,1,1,0,0,1,4,1,0
ENSRNOG00000060047,0,0,0,1,1,1,0,1,4
ENSRNOG00000060048,1407,1143,1139,1212,1118,1357,1729,1048,1128
ENSRNOG00000060049,0,0,0,0,0,0,0,0,0
ENSRNOG00000060050,0,0,0,0,0,0,0,0,0
ENSRNOG00000060051,187,182,170,143,117,128,202,119,111
ENSRNOG00000060052,0,0,0,0,0,0,0,0,0
ENSRNOG00000060053,0,1,1,0,0,0,0,0,0
ENSRNOG00000060054,1,0,3,4,4,2,6,4,1
ENSRNOG00000060055,0,0,0,0,0,0,0,0,0
ENSRNOG00000060056,0,0,0,0,0,0,0,0,0
ENSRNOG00000060057,96,67,20,103,47,23,124,42,21
ENSRNOG00000060058,0,0,0,0,0,0,0,0,0
ENSRNOG00000060059,0,0,0,1,0,0,0,0,0
ENSRNOG00000060060,0,0,0,0,0,0,0,0,0
ENSRNOG00000060061,3,5,1,0,0,1,0,3,0
ENSRNOG00000060062,1,1,0,1,0,0,1,0,0
ENSRNOG00000060063,272,229,235,504,485,498,967,605,519
ENSRNOG00000060064,2,0,1,0,0,0,0,0,0
ENSRNOG00000060065,62,35,48,10,4,13,12,5,13
ENSRNOG00000060066,0,0,0,0,0,0,0,0,0
ENSRNOG00000060067,1,1,0,2,0,0,5,0,0
ENSRNOG00000060068,0,0,0,0,0,0,0,0,0
ENSRNOG00000060069,177,216,164,249,257,258,372,235,240
ENSRNOG00000060070,0,0,0,0,0,0,0,0,0
ENSRNOG00000060071,0,0,0,0,0,0,0,0,0
ENSRNOG00000060072,0,0,0,0,0,0,0,0,0
ENSRNOG00000060073,0,0,0,0,0,0,0,0,0
ENSRNOG00000060074,0,0,0,0,0,0,0,0,0
ENSRNOG00000060075,38,20,24,156,88,92,143,88,87
ENSRNOG00000060076,0,0,0,0,0,0,0,0,0
ENSRNOG00000060077,0,0,0,0,0,0,0,0,0
ENSRNOG00000060078,0,0,0,0,0,0,0,0,0
ENSRNOG00000060079,5,1,10,38,17,13,22,12,19
ENSRNOG00000060080,0,0,0,0,0,0,0,0,0
ENSRNOG00000060081,0,0,0,0,0,0,0,0,0
ENSRNOG00000060082,0,0,0,0,0,0,0,0,0
ENSRNOG00000060083,0,0,0,0,0,0,0,0,0
ENSRNOG00000060084,0,0,0,0,0,0,0,0,0
ENSRNOG00000060085,0,0,0,0,0,0,0,0,0
ENSRNOG00000060086,0,0,0,0,0,0,0,0,0
ENSRNOG00000060087,747,1645,876,246,258,223,267,290,174
ENSRNOG00000060088,0,0,0,0,0,0,0,0,0
ENSRNOG00000060089,0,0,0,0,0,0,0,0,0
ENSRNOG00000060090,0,0,0,0,0,0,0,0,0
ENSRNOG00000060091,0,0,0,0,0,0,0,0,0
ENSRNOG00000060092,0,0,0,0,0,0,0,0,0
ENSRNOG00000060093,0,0,0,0,0,0,0,0,0
ENSRNOG00000060094,0,0,0,0,0,0,0,0,0
ENSRNOG00000060095,0,0,0,0,0,0,0,1,0
ENSRNOG00000060096,0,0,0,0,0,0,0,0,0
ENSRNOG00000060097,0,0,0,0,0,0,0,0,0
ENSRNOG00000060098,6587,6573,6087,4881,4396,5232,9743,5094,5124
ENSRNOG00000060099,0,0,0,0,0,0,0,0,0
ENSRNOG00000060100,12,14,31,9,16,20,39,13,11
ENSRNOG00000060101,0,1,0,0,0,0,0,0,0
ENSRNOG00000060102,0,0,0,0,0,0,0,0,0
ENSRNOG00000060103,0,0,0,0,0,0,0,0,0
ENSRNOG00000060104,0,0,0,0,0,0,0,1,0
ENSRNOG00000060105,35,42,54,34,26,68,54,68,55
ENSRNOG00000060106,0,0,0,0,0,0,0,0,0
ENSRNOG00000060107,2928,1346,1675,2400,1751,1794,2664,1656,1571
ENSRNOG00000060108,0,0,0,0,0,0,0,0,0
ENSRNOG00000060109,0,0,0,0,0,0,1,0,0
ENSRNOG00000060110,0,2,0,8,3,6,10,9,3
ENSRNOG00000060111,0,0,0,0,0,0,0,0,0
ENSRNOG00000060112,0,0,0,0,0,0,0,0,0
ENSRNOG00000060113,0,0,0,0,0,0,0,0,0
ENSRNOG00000060114,0,0,0,0,0,0,0,0,0
ENSRNOG00000060115,0,0,0,0,0,0,0,0,0
ENSRNOG00000060116,0,0,0,0,0,0,0,0,0
ENSRNOG00000060117,0,0,0,0,0,0,0,0,0
ENSRNOG00000060118,0,0,0,0,0,0,0,0,0
ENSRNOG00000060119,0,0,0,0,0,0,0,0,0
ENSRNOG00000060120,1025,1026,1065,823,819,914,1200,734,851
ENSRNOG00000060121,0,0,0,0,0,0,0,0,0
ENSRNOG00000060122,0,0,0,0,0,0,0,0,0
ENSRNOG00000060123,35,30,32,45,19,21,33,31,20
ENSRNOG00000060124,0,0,0,0,0,0,0,0,0
ENSRNOG00000060125,0,0,0,0,0,0,0,0,0
ENSRNOG00000060126,0,0,0,0,0,0,0,0,0
ENSRNOG00000060127,0,0,0,0,0,0,0,0,0
ENSRNOG00000060128,0,0,0,0,0,0,0,0,0
ENSRNOG00000060129,312,261,243,360,355,382,461,265,316
ENSRNOG00000060130,145,115,143,120,138,184,110,122,125
ENSRNOG00000060131,0,0,0,0,0,0,0,0,0
ENSRNOG00000060132,1,0,0,0,0,0,0,0,0
ENSRNOG00000060133,0,0,2,0,0,0,0,0,0
ENSRNOG00000060134,0,0,0,0,0,0,0,0,0
ENSRNOG00000060135,0,0,0,0,0,0,0,0,0
ENSRNOG00000060136,1,0,0,0,0,0,0,0,0
ENSRNOG00000060137,13,11,12,15,8,20,30,14,14
ENSRNOG00000060138,0,0,0,0,0,0,0,0,0
ENSRNOG00000060139,0,0,0,0,0,0,0,0,0
ENSRNOG00000060140,0,0,0,0,0,0,0,0,0
ENSRNOG00000060141,813,1128,770,512,558,786,690,561,620
ENSRNOG00000060142,0,0,0,1,2,1,0,3,0
ENSRNOG00000060143,1,1,3,0,0,0,0,0,0
ENSRNOG00000060144,1255,1121,1134,1312,1254,1344,1951,1069,1094
ENSRNOG00000060145,0,0,0,0,0,0,0,0,0
ENSRNOG00000060146,529,521,425,93,89,136,189,110,103
ENSRNOG00000060147,0,0,0,0,0,0,0,0,0
ENSRNOG00000060148,0,0,0,0,0,0,0,0,0
ENSRNOG00000060149,0,0,0,0,0,0,0,0,0
ENSRNOG00000060150,0,0,0,0,0,0,0,0,0
ENSRNOG00000060151,0,0,0,0,0,0,0,0,0
ENSRNOG00000060152,0,0,0,0,0,0,0,0,0
ENSRNOG00000060153,0,0,0,0,0,0,0,0,0
ENSRNOG00000060154,4550,3531,4275,2496,2395,2982,3459,2560,3011
ENSRNOG00000060155,0,0,0,0,0,0,0,0,0
ENSRNOG00000060156,21,7,23,75,51,51,50,44,37
ENSRNOG00000060157,7,1,4,15,8,14,33,13,10
ENSRNOG00000060158,0,0,0,0,0,0,0,0,0
ENSRNOG00000060159,0,0,0,0,0,0,0,2,0
ENSRNOG00000060160,0,0,0,0,0,0,0,2,2
ENSRNOG00000060161,138,86,131,140,118,125,228,92,113
ENSRNOG00000060162,0,0,0,4,6,1,8,2,3
ENSRNOG00000060163,0,0,0,0,0,0,0,0,0
ENSRNOG00000060164,0,0,0,0,0,0,0,0,0
ENSRNOG00000060165,6,0,0,0,0,0,0,0,0
ENSRNOG00000060166,0,0,0,0,0,0,0,0,0
ENSRNOG00000060167,0,0,0,0,0,0,0,0,0
ENSRNOG00000060168,318,227,269,595,566,714,889,509,654
ENSRNOG00000060169,0,0,0,0,0,0,0,0,0
ENSRNOG00000060170,0,0,0,0,0,0,0,0,0
ENSRNOG00000060171,0,0,0,0,0,0,0,0,0
ENSRNOG00000060172,0,0,0,0,0,0,0,0,0
ENSRNOG00000060173,0,0,0,0,0,0,0,0,0
ENSRNOG00000060174,0,0,1,0,0,0,0,0,0
ENSRNOG00000060175,63,82,61,108,126,167,261,160,170
ENSRNOG00000060176,0,0,0,0,0,0,0,0,0
ENSRNOG00000060177,0,0,0,0,0,0,0,0,0
ENSRNOG00000060178,2,0,0,0,0,0,0,0,0
ENSRNOG00000060179,0,4,1,19,29,12,22,17,24
ENSRNOG00000060180,0,0,0,0,0,0,0,0,0
ENSRNOG00000060181,0,0,1,0,0,0,0,0,0
ENSRNOG00000060182,10,1,1,2,0,0,4,2,0
ENSRNOG00000060183,0,0,0,0,0,0,0,0,0
ENSRNOG00000060184,0,0,0,0,0,0,0,0,0
ENSRNOG00000060185,24,7,14,18,14,22,41,20,18
ENSRNOG00000060186,0,0,0,0,0,0,0,0,0
ENSRNOG00000060187,0,0,0,0,0,0,0,1,1
ENSRNOG00000060188,1,6,6,1,3,6,1,5,1
ENSRNOG00000060189,0,0,5,0,0,0,1,0,0
ENSRNOG00000060190,0,0,0,0,0,0,0,0,0
ENSRNOG00000060191,0,0,0,0,0,0,0,0,0
ENSRNOG00000060192,0,0,0,0,0,0,0,0,0
ENSRNOG00000060193,4,0,0,9,5,8,6,8,2
ENSRNOG00000060194,0,0,0,0,0,1,0,0,0
ENSRNOG00000060195,0,0,0,0,0,0,0,0,1
ENSRNOG00000060196,0,0,0,0,0,0,0,0,0
ENSRNOG00000060197,15,14,3,15,10,12,11,23,5
ENSRNOG00000060198,0,0,0,0,0,0,0,0,0
ENSRNOG00000060199,0,0,0,0,0,0,0,0,0
ENSRNOG00000060200,0,0,0,0,0,0,0,0,0
ENSRNOG00000060201,0,0,0,0,0,0,0,0,0
ENSRNOG00000060202,0,0,0,0,0,0,0,0,0
ENSRNOG00000060203,0,0,0,0,0,0,1,0,0
ENSRNOG00000060204,0,0,0,0,0,0,0,0,0
ENSRNOG00000060205,0,0,0,0,0,0,0,0,0
ENSRNOG00000060206,3000,2504,2605,1695,2007,2471,2279,1728,1987
ENSRNOG00000060207,0,0,0,0,0,1,0,0,0
ENSRNOG00000060208,0,0,0,0,0,0,0,0,0
ENSRNOG00000060209,0,0,0,0,0,0,0,0,0
ENSRNOG00000060210,0,0,0,0,0,0,0,0,0
ENSRNOG00000060211,1,0,0,0,0,3,0,2,0
ENSRNOG00000060212,0,7,4,5,8,3,10,3,1
ENSRNOG00000060213,0,0,0,0,0,0,0,0,0
ENSRNOG00000060214,0,0,0,0,0,0,0,0,0
ENSRNOG00000060215,0,0,0,0,0,0,0,0,0
ENSRNOG00000060216,3,0,0,6,3,6,12,0,4
ENSRNOG00000060217,0,0,0,0,0,0,0,0,0
ENSRNOG00000060218,0,0,0,0,0,0,0,0,0
ENSRNOG00000060219,2,2,0,0,1,1,0,0,0
ENSRNOG00000060220,0,0,0,0,0,1,0,0,1
ENSRNOG00000060221,0,0,0,0,0,0,0,0,0
ENSRNOG00000060222,4,0,1,2,0,0,2,1,0
ENSRNOG00000060223,0,0,0,0,0,2,0,0,0
ENSRNOG00000060224,0,0,0,0,0,0,0,0,0
ENSRNOG00000060225,0,0,0,3,0,0,1,0,0
ENSRNOG00000060226,1,0,0,0,0,0,0,0,0
ENSRNOG00000060227,0,0,0,0,0,0,0,0,0
ENSRNOG00000060228,11,5,1,2,3,0,0,4,0
ENSRNOG00000060229,5048,4831,4374,4006,4239,5185,5864,4296,4460
ENSRNOG00000060230,0,0,0,0,0,0,0,0,0
ENSRNOG00000060231,0,0,0,0,0,0,0,0,0
ENSRNOG00000060232,0,0,0,0,0,0,0,0,0
ENSRNOG00000060233,0,0,0,0,0,0,0,0,0
ENSRNOG00000060234,0,0,0,0,0,0,0,0,0
ENSRNOG00000060235,18,2,16,9,1,2,5,1,4
ENSRNOG00000060236,0,0,0,0,0,0,0,0,0
ENSRNOG00000060237,753,922,1804,1345,1393,3123,4412,1932,2033
ENSRNOG00000060238,0,0,0,0,0,0,0,0,0
ENSRNOG00000060239,0,0,0,0,0,0,0,0,0
ENSRNOG00000060240,0,0,0,0,0,0,0,0,0
ENSRNOG00000060241,0,0,0,1,0,1,2,0,1
ENSRNOG00000060242,0,0,3,0,0,0,0,0,0
ENSRNOG00000060243,0,0,0,0,0,0,3,0,0
ENSRNOG00000060244,5,3,2,1,1,1,2,5,1
ENSRNOG00000060245,2,2,1,6,2,1,1,1,0
ENSRNOG00000060246,106,31,49,196,101,80,224,80,121
